"","datetime","temp_in_degrees_c","magnitude_in_kohm","battery_in_percent","solar_in_percent","tree_id"
"60",2021-05-25,9.42239467849224,168.511055432372,100,20.4456762749446,"BSF_1"
"61",2021-05-26,9.60813253012048,229.863972891566,100,17.2951807228916,"BSF_1"
"62",2021-05-27,12.1172043010753,8.61666666666666,100,26.1612903225806,"BSF_1"
"63",2021-05-28,17.2483720930233,8.35346976744187,100,24.1953488372093,"BSF_1"
"64",2021-05-29,14.5805063291139,31.2589139240506,100,19.9063291139241,"BSF_1"
"65",2021-05-30,15.1877659574468,18.0486436170213,100,19.1462765957447,"BSF_1"
"66",2021-05-31,18.8650224215247,42.097798206278,100,19.8026905829596,"BSF_1"
"67",2021-06-01,16.9589665653495,11.9312431610942,100,17.3130699088146,"BSF_1"
"68",2021-06-02,19.4498338870432,12.3565581395349,100,16.8471760797342,"BSF_1"
"69",2021-06-03,18.7289682539683,16.0475515873016,100,16.781746031746,"BSF_1"
"70",2021-06-04,19.2996875,10.15010625,84.6875,21.015625,"BSF_1"
"71",2021-06-05,19.7262658227848,37.3246613924051,84.0126582278481,19.1329113924051,"BSF_1"
"72",2021-06-06,16.905421686747,135.993054216867,100,13.0903614457831,"BSF_1"
"73",2021-06-07,17.2893382352941,114.321911764706,73.0588235294118,18.7941176470588,"BSF_1"
"74",2021-06-08,19.8603524229075,223.234841409692,71.9647577092511,19.8722466960352,"BSF_1"
"75",2021-06-10,21.9652173913043,14.9075217391304,100,14.2608695652174,"BSF_1"
"76",2021-06-11,18.5,8.414,100,0,"BSF_1"
"77",2021-03-04,28.4826086956522,7.28273913043478,59.5217391304348,5.69565217391304,"mof_cst_00001"
"78",2021-03-05,19.8711627906977,3.70069767441861,68.5906976744186,6.4093023255814,"mof_cst_00001"
"79",2021-03-06,19.9158392434988,3.61132624113475,68.2127659574468,5.95271867612293,"mof_cst_00001"
"80",2021-03-07,19.9061904761905,3.60367142857143,68.597619047619,5.36666666666667,"mof_cst_00001"
"81",2021-03-08,20.1531914893617,5.17986524822696,68.4893617021277,5.90425531914894,"mof_cst_00001"
"82",2021-03-23,8.39324324324324,22.3709864864865,63.1216216216216,21.3648648648649,"mof_cst_00001"
"83",2021-03-24,0.4375,34.780625,62.75,7.41666666666667,"mof_cst_00001"
"84",2021-03-29,18.1851485148515,46.5322128712871,77.8415841584158,15.7524752475248,"mof_cst_00001"
"85",2021-03-30,13.8387755102041,39.2620853432282,77.9925788497217,16.1595547309833,"mof_cst_00001"
"86",2021-03-31,15.1447080291971,33.2711897810219,77.8886861313869,16.0529197080292,"mof_cst_00001"
"87",2021-04-01,15.0001824817518,28.8937591240876,77.2755474452555,16.4124087591241,"mof_cst_00001"
"88",2021-04-02,7.79525547445256,29.1168229927007,77.2372262773723,17.8211678832117,"mof_cst_00001"
"89",2021-04-03,6.67109090909091,29.7139581818182,76.5127272727273,19.1090909090909,"mof_cst_00001"
"90",2021-04-04,5.76132596685082,30.5964272559852,76.5322283609576,18.0478821362799,"mof_cst_00001"
"91",2021-04-05,2.30625,33.6547150735294,75.9761029411765,15.4154411764706,"mof_cst_00001"
"92",2021-04-06,2.05576923076923,34.9866942307692,76.0230769230769,18.05,"mof_cst_00001"
"93",2021-04-07,1.11342412451362,36.4028171206226,75.2587548638132,18.1186770428016,"mof_cst_00001"
"94",2021-04-08,3.59512195121952,30.0441106941839,75.0450281425891,19.6772983114447,"mof_cst_00001"
"95",2021-04-09,7.83812375249501,34.7652754491018,75.4471057884232,19.12375249501,"mof_cst_00001"
"96",2021-04-10,7.14452554744526,23.2316642335766,75.1040145985401,14.9197080291971,"mof_cst_00001"
"97",2021-04-11,6.34634146341464,23.0106097560976,74.7392120075047,12.9043151969981,"mof_cst_00001"
"98",2021-04-12,4.215,29.137398076923,73.6096153846154,19.9634615384615,"mof_cst_00001"
"99",2021-04-13,3.48988764044944,38.4340074906367,73.8258426966292,20.0842696629213,"mof_cst_00001"
"100",2021-04-14,3.73754940711463,34.7269584980237,72.6166007905138,20.7173913043478,"mof_cst_00001"
"101",2021-04-15,3.79045871559633,38.8528788990825,73.2917431192661,19.9357798165138,"mof_cst_00001"
"102",2021-04-16,5.40352644836272,27.1017481108312,73.6221662468514,21.4458438287154,"mof_cst_00001"
"103",2021-04-19,11.1581168831169,33.656974025974,72.275974025974,25.2142857142857,"mof_cst_00001"
"104",2021-04-20,10.7796407185629,24.9573672654691,72.9301397205589,18.4770459081836,"mof_cst_00001"
"105",2021-04-21,12.7749403341289,21.6912720763723,72.8711217183771,21.035799522673,"mof_cst_00001"
"106",2021-04-22,8.45821167883211,26.3004927007299,72.1861313868613,20.7390510948905,"mof_cst_00001"
"107",2021-04-23,10.8174008810573,24.5291960352423,71.9515418502203,24.3083700440529,"mof_cst_00001"
"108",2021-04-24,9.55502183406114,24.9888471615721,71.9170305676856,24.1637554585153,"mof_cst_00001"
"109",2021-04-25,7.46916058394161,26.3935127737226,71.3521897810219,21.6040145985401,"mof_cst_00001"
"110",2021-04-26,8.00549450549451,27.2645018315018,71.9432234432234,21.496336996337,"mof_cst_00001"
"111",2021-04-27,9.91971066907776,24.831027124774,70.8336347197107,20.6726943942134,"mof_cst_00001"
"112",2021-04-28,12.8232304900182,23.2337894736842,71.0907441016334,18.8257713248639,"mof_cst_00001"
